timestamp,data_hora,abertura,alta,baixa,fechamento,volume,retorno,amplitude,pos_fechamento,media_volume_20,volume_relativo,media_curta,media_longa,diff_medias,alvo
1766883300000,2025-12-28 00:55:00,87866.97,87866.98,87840.61,87854.96,8.37981,-0.00013668389839771147,0.00030011277275175576,0.5441789912762206,20.683665499999996,0.405141438784146,87833.938,87732.48766666667,0.001156359930414605,1
1766883600000,2025-12-28 01:00:00,87854.97,87945.39,87854.96,87945.39,27.87324,0.0010291961854861284,0.0010293100094393409,0.9999999999988941,21.336234499999996,1.3063804674625228,87846.965,87743.643,0.0011775439959792885,0
1766883900000,2025-12-28 01:05:00,87945.38,87945.39,87890.39,87890.4,13.32973,-0.0006251607531857896,0.000625388167064603,0.00018181818172260234,21.486321,0.6203821491822634,87855.775,87755.76433333334,0.001139647833124348,0
1766884200000,2025-12-28 01:10:00,87890.4,87905.62,87856.62,87856.63,9.47538,-0.00038422853918049666,0.0005575125383432093,0.00020408163284271055,21.751708999999998,0.43561542681542864,87863.101,87765.265,0.0011147462495555125,0
1766884500000,2025-12-28 01:15:00,87856.62,87856.63,87739.06,87826.94,21.00804,-0.0003378231486710167,0.001338203085891615,0.7474695925825013,22.5961665,0.9297169942521003,87872.15,87772.67433333333,0.001133332981160944,0
1766884800000,2025-12-28 01:20:00,87826.95,87837.27,87804.39,87805.5,15.15879,-0.00024423027328168733,0.0003743725587647602,0.03375912408750149,23.0416015,0.6578878642615185,87872.254,87778.33766666666,0.0010699260868892709,1
1766885100000,2025-12-28 01:25:00,87805.5,87805.51,87792.67,87805.51,6.9965,1.1388808212197767e-07,0.00014623229752118612,0.9999999999922118,18.096883499999997,0.38661352934056303,87864.09,87786.32166666668,0.0008858821267008502,1
1766885400000,2025-12-28 01:30:00,87805.51,87821.52,87756.1,87821.51,9.96733,0.0001822209107378341,0.0007450557487792993,0.9998471415452568,16.5805455,0.6011460841261225,87857.64199999999,87794.31733333334,0.0007212843449334501,1
1766885700000,2025-12-28 01:35:00,87821.52,87850.0,87803.1,87824.31,16.79705,3.1768978719493773e-05,0.0005340376709489221,0.45223880596906735,16.289194000000002,1.0311774787629147,87849.812,87801.012,0.0005558022497508674,0
1766886000000,2025-12-28 01:40:00,87824.31,87864.69,87821.93,87821.94,13.40743,-2.698569450753833e-05,0.00048688113803580483,0.00023386342397772829,15.412660000000002,0.8698972143679286,87845.309,87808.048,0.0004243460690527889,0
1766886300000,2025-12-28 01:45:00,87821.93,87821.94,87798.0,87817.74,4.36217,-4.7710178995016124e-05,0.00027259706089358696,0.8245614035054664,14.2557255,0.30599424771471645,87841.587,87812.82566666667,0.0003275299834047594,0
